"UniqueCarrier","Sum","Fraction"
"AA",752241,0.115933784795963
"AS",161594,0.0249045239761179
"B6",67184,0.0103542553486609
"CO",302742,0.0466579538694375
"DH",291600,0.0449407725004392
"DL",660617,0.101812888569694
"EV",273712,0.0421839119432106
"FL",144700,0.0223008565871521
"HA",7831,0.00120689708316509
"HP",189519,0.0292082656498997
"MQ",429098,0.0661316721481258
"NW",499160,0.0769294787425214
"OO",396801,0.0611541271225884
"TZ",69176,0.0106612581566886
"UA",543957,0.0838334972120076
"US",411956,0.063489783526032
"WN",958566,0.147732155461783
"XE",328086,0.0505639173065127
