"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",723252,9969,0.0137835775082544
"AS",89122,1027,0.0115235295437715
"CO",410322,3911,0.00953153864525909
"DL",783320,4708,0.00601031506919267
"EA",169704,17516,0.103215009663885
"HP",195588,1126,0.00575699940691658
"NW",451752,5017,0.0111056508880979
"PA (1)",79333,974,0.0122773625099265
"PI",286518,3367,0.0117514431903057
"TW",276471,3153,0.0114044510997537
"UA",574674,8912,0.0155079227527259
"US",712342,12406,0.0174157918527898
"WN",288802,2079,0.0071987036100858
