"","UniqueCarrier","Mean"
"1","9E",33.4271882342341
"2","AA",25.5098890200888
"3","AQ",13.3121472862816
"4","AS",21.6754577322665
"5","B6",35.1091507888162
"6","CO",25.0023189519444
"7","DH",36.2748496909784
"8","DL",20.1869024524728
"9","EA",22.6411870292317
"10","EV",34.0545915767204
"11","F9",21.006856180893
"12","FL",32.8620799954652
"13","HA",15.9180086500414
"14","HP",19.7149389309859
"15","ML (1)",20.3712708679015
"16","MQ",31.4985419914852
"17","NW",23.2338815620284
"18","OH",29.5688156952802
"19","OO",25.8155641981271
"20","PA (1)",21.5129468308801
"21","PI",17.6793136685893
"22","PS",20.2586145722455
"23","TW",22.2610739189003
"24","TZ",30.7006296844529
"25","UA",26.4277219937131
"26","US",20.9543384201215
"27","WN",21.2254169908266
"28","XE",32.4254797664873
"29","YV",39.1843933576302
