"","UniqueCarrier","AllFlights_sum","DelayedFlights_sum","Fraction"
"1","9E",334161,144283,0.431776897962359
"2","AA",14262880,6584525,0.461654658806637
"3","AQ",151507,57412,0.378939586949778
"4","AS",2710911,1493941,0.551084487834532
"5","B6",673384,306979,0.455875102467537
"6","CO",7816712,3721940,0.476151609525847
"7","DH",669687,261794,0.390919937224405
"8","DL",15965876,8685397,0.543997523217642
"9","EA",884077,425634,0.481444489563692
"10","EV",1460045,700511,0.479787266830817
"11","F9",270017,130685,0.483988045197154
"12","FL",1076311,493953,0.458931479841793
"13","HA",229909,54335,0.236332635955965
"14","HP",3575401,1958440,0.547753944242897
"15","ML (1)",69119,29531,0.427248658111373
"16","MQ",3477118,1547659,0.445098210644563
"17","NW",9829738,4452339,0.45294584657292
"18","OH",1292601,564348,0.436598764816057
"19","OO",2655039,1109752,0.417979547569734
"20","PA (1)",311436,149805,0.481013755635187
"21","PI",862209,584091,0.677435517374558
"22","PS",82293,47913,0.5822244905399
"23","TW",3677974,1818033,0.494302841727538
"24","TZ",206007,85122,0.413199551471552
"25","UA",12689245,6195716,0.488265141070253
"26","US",13457975,6718909,0.499251113187534
"27","WN",15000887,6433295,0.428860973354442
"28","XE",2061491,925346,0.448872199781614
"29","YV",657522,287006,0.436496421412515
