"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"9E",106775,3455423,32.3617232498244
"AA",315224,11756271,37.294974367434
"AQ",12785,188889,14.7742667188111
"AS",76651,2343686,30.5760655438285
"B6",87837,3811938,43.397861948837
"CO",146090,5226285,35.7744198781573
"DL",217610,5915443,27.1836910068471
"EV",150573,6047758,40.1649565327117
"F9",49315,1120732,22.7259860083139
"FL",114196,3484648,30.5146239798242
"HA",14379,237668,16.528826761249
"MQ",249922,9195056,36.7917030113395
"NW",232834,6615717,28.4138785572554
"OH",119104,3997994,33.567252149382
"OO",275732,7826823,28.3856171935067
"UA",233395,8712557,37.3296643030056
"US",259400,7740803,29.8411835003855
"WN",490314,12115797,24.7102815746644
"XE",177060,7043897,39.7825426409127
"YV",124259,4645876,37.3886479047795
