"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"9E",83975,37508,0.446656743078297
"AA",193114,108135,0.559954223929907
"AQ",7752,1908,0.246130030959752
"AS",48903,20712,0.423532298631986
"B6",66381,28962,0.436299543544086
"CO",101394,52665,0.519409432510799
"DL",147987,69278,0.468135714623582
"EV",89819,42731,0.475745666284416
"F9",30559,16457,0.538532020026833
"FL",85708,43071,0.502531852335838
"HA",18262,4700,0.257365020260651
"MQ",158426,78286,0.4941486877154
"NW",121162,66372,0.547795513444809
"OH",69176,36113,0.52204521799468
"OO",187917,85852,0.456861273860268
"UA",149156,75799,0.50818606023224
"US",150891,58005,0.384416565600334
"WN",393732,181303,0.460473113691547
"XE",134444,64745,0.481575972151974
"YV",80363,36425,0.453255851573485
